iter	Passed	Remaining
0	1	808
1	3	932
2	5	983
3	8	999
4	10	1008
5	12	1008
6	14	1009
7	16	1009
8	18	1004
9	20	1005
10	22	1004
11	24	1004
12	26	1003
13	28	1005
14	31	1002
15	33	1000
16	35	998
17	37	1000
18	39	999
19	41	996
20	43	996
21	45	995
22	47	992
23	49	990
24	52	991
25	54	989
26	56	987
27	58	985
28	60	983
29	62	979
30	64	977
31	66	979
32	69	977
33	71	975
34	73	972
35	75	971
36	77	968
37	79	965
38	81	962
39	83	960
40	85	957
41	87	954
42	89	951
43	91	948
44	93	945
45	95	942
46	97	940
47	99	938
48	101	937
49	103	934
50	105	931
51	107	928
52	109	926
53	112	925
54	114	926
55	116	924
56	118	922
57	120	920
58	122	919
59	124	911
60	126	909
61	128	908
62	130	907
63	132	905
64	135	903
65	137	901
66	139	899
67	141	896
68	143	894
69	145	892
70	147	890
71	149	887
72	151	885
73	153	883
74	155	881
75	157	879
76	159	877
77	161	876
78	164	874
79	166	872
80	168	870
81	170	868
82	172	866
83	174	864
84	176	863
85	178	861
86	181	859
87	183	858
88	185	855
89	187	853
90	189	850
91	191	849
92	193	847
93	195	845
94	197	843
95	199	841
96	201	839
97	203	836
98	206	834
99	208	833
100	210	831
101	212	828
102	214	826
103	216	824
104	218	822
105	220	820
106	222	818
107	224	815
108	226	813
109	228	811
110	231	809
111	233	807
112	235	805
113	237	803
114	239	801
115	241	799
116	243	797
117	245	795
118	247	793
119	249	790
120	251	788
121	254	787
122	256	785
123	258	783
124	260	780
125	262	778
126	264	776
127	266	774
128	268	772
129	270	770
130	272	768
131	274	766
132	276	764
133	279	762
134	281	760
135	283	758
136	285	756
137	287	753
138	289	751
139	291	749
140	293	747
141	295	745
142	297	743
143	299	741
144	302	739
145	304	737
146	306	735
147	308	732
148	310	730
149	312	728
150	314	726
151	316	724
152	318	722
153	320	720
154	322	718
155	324	715
156	326	713
157	328	711
158	330	709
159	332	707
160	335	705
161	337	703
162	339	700
163	341	698
164	343	696
165	345	694
166	347	692
167	349	691
168	351	689
169	353	687
170	356	685
171	358	682
172	360	680
173	362	678
174	364	676
175	366	674
176	368	672
177	370	670
178	372	668
179	374	666
180	377	664
181	379	662
182	381	660
183	383	658
184	385	656
185	387	654
186	389	652
187	391	650
188	394	648
189	396	646
190	398	644
191	400	642
192	402	640
193	404	637
194	406	635
195	408	633
196	410	631
197	412	629
198	414	627
199	416	625
200	418	623
201	421	621
202	423	619
203	425	616
204	427	614
205	429	612
206	431	610
207	433	608
208	435	606
209	437	604
210	439	601
211	441	599
212	443	597
213	445	595
214	447	593
215	449	591
216	451	588
217	453	586
218	455	584
219	457	582
220	459	580
221	461	578
222	463	576
223	465	574
224	468	572
225	470	569
226	472	567
227	474	565
228	476	563
229	478	561
230	480	559
231	482	557
232	485	556
233	487	553
234	489	551
235	491	549
236	493	547
237	495	545
238	497	543
239	499	541
240	501	539
241	503	537
242	506	535
243	508	533
244	510	531
245	512	528
246	514	527
247	517	525
248	519	523
249	521	521
250	523	519
251	525	517
252	527	514
253	529	512
254	531	510
255	533	508
256	536	506
257	538	504
258	540	502
259	542	500
260	544	498
261	546	496
262	549	494
263	551	492
264	553	490
265	555	488
266	557	486
267	559	484
268	561	482
269	563	480
270	566	478
271	568	476
272	570	474
273	572	471
274	574	469
275	576	467
276	578	465
277	580	463
278	582	461
279	584	459
280	586	457
281	588	455
282	591	453
283	593	451
284	595	449
285	597	447
286	599	444
287	601	442
288	603	440
289	605	438
290	608	436
291	610	434
292	612	432
293	614	430
294	616	428
295	618	426
296	620	424
297	622	422
298	624	419
299	626	417
300	628	415
301	630	413
302	633	411
303	635	409
304	637	407
305	639	405
306	641	403
307	643	401
308	645	399
309	647	397
310	650	395
311	652	392
312	654	391
313	656	388
314	658	386
315	660	384
316	662	382
317	665	380
318	667	378
319	669	376
320	671	374
321	673	372
322	676	370
323	678	368
324	680	366
325	682	364
326	684	362
327	686	359
328	688	357
329	690	355
330	692	353
331	694	351
332	696	349
333	699	347
334	701	345
335	703	343
336	705	341
337	707	339
338	709	336
339	711	334
340	713	332
341	715	330
342	717	328
343	719	326
344	721	324
345	723	322
346	725	320
347	728	318
348	730	315
349	732	313
350	734	311
351	736	309
352	738	307
353	740	305
354	742	303
355	744	301
356	746	299
357	748	297
358	750	294
359	752	292
360	755	290
361	757	288
362	759	286
363	761	284
364	763	282
365	765	280
366	767	278
367	769	275
368	771	273
369	773	271
370	775	269
371	777	267
372	779	265
373	781	263
374	783	261
375	786	259
376	788	257
377	790	255
378	792	252
379	794	250
380	796	248
381	798	246
382	800	244
383	802	242
384	804	240
385	806	238
386	809	236
387	811	234
388	813	232
389	815	230
390	817	227
391	819	225
392	822	223
393	824	221
394	826	219
395	828	217
396	830	215
397	832	213
398	834	211
399	836	209
400	838	207
401	841	205
402	843	202
403	844	200
404	847	198
405	849	196
406	851	194
407	853	192
408	855	190
409	857	188
410	859	186
411	862	184
412	864	182
413	866	180
414	868	177
415	871	175
416	873	173
417	875	171
418	877	169
419	879	167
420	881	165
421	884	163
422	886	161
423	888	159
424	890	157
425	892	155
426	894	152
427	896	150
428	898	148
429	900	146
430	903	144
431	905	142
432	907	140
433	909	138
434	911	136
435	913	134
436	916	132
437	917	129
438	920	127
439	922	125
440	924	123
441	926	121
442	928	119
443	930	117
444	932	115
445	934	113
446	936	111
447	939	108
448	941	106
449	943	104
450	945	102
451	947	100
452	949	98
453	951	96
454	953	94
455	955	92
456	957	90
